TICKER,INVESTMENT_DATE,INVESTMENT_AMOUNT,DISTRIBUTION_DATES,DISTRIBUTION_AMOUNTS,VALUATION_DATE,CURRENT_NAV,IRR,MOIC,DPI,TVPI
ACD08789-8B86-4DCD-90B0-0DA9533E0A9B,2019-08-12,5820723.03,"[datetime.date(2023, 3, 31), datetime.date(2024, 8, 25)]","[1055174.44, 1153258.35]",2024-08-25,2455040.76,-0.0907,0.8012,0.3794,0.8012
40B57552-7A28-4529-BC2A-34F8201C4DF4,2018-09-17,3943511.75,"[datetime.date(2022, 8, 11), datetime.date(2023, 6, 30)]","[938124.94, 1440306.37]",2023-06-30,4668788.46,0.2656,1.787,0.6031,1.787
C2915E00-54E4-4EEE-B03A-AA9DEA13DD4D,2023-06-25,6690773.58,"[datetime.date(2028, 10, 13)]",[3631716.59],2028-10-13,3399151.82,0.0341,1.0508,0.5428,1.0508
0C93352A-16C8-4168-8B41-7BF0AA06D069,2020-07-06,6669760.04,"[datetime.date(2022, 7, 18), datetime.date(2021, 9, 19), datetime.date(2025, 4, 14), datetime.date(2024, 12, 28)]","[2265539.22, 3197214.29, 3985149.29, 3309803.46]",2025-04-14,464091.99,0.305,1.9823,1.9128,1.9823
B7E42EBF-E45A-45C8-AC8E-C482C768AFF0,2025-04-01,2003401.0,"[datetime.date(2029, 1, 31), datetime.date(2027, 9, 11)]","[344504.54, 381934.31]",2029-01-31,14144.53,-0.4547,0.3697,0.3626,0.3697
1F2D21BE-3C8A-43EA-A6CC-F152E8FEBF21,2019-05-16,6942573.74,"[datetime.date(2023, 8, 22), datetime.date(2021, 10, 5), datetime.date(2021, 3, 15), datetime.date(2020, 9, 4)]","[742663.23, 1138766.16, 1031621.22, 2506614.95]",2023-08-22,6341931.57,0.1425,1.6941,0.7806,1.6941
16069C8D-FD01-46C7-9F63-5C3508D9D145,2019-06-18,7884904.35,[],[],2024-06-16,1767523.38,-0.7758,0.2242,0.0,0.2242
B291D418-21EE-4EB6-B911-F8966841905B,2018-12-19,6684519.15,"[datetime.date(2019, 7, 24), datetime.date(2022, 3, 31), datetime.date(2021, 10, 15), datetime.date(2024, 10, 18)]","[2564738.01, 3441456.66, 2596382.21, 760021.97]",2024-10-18,3449589.23,0.2756,1.9167,1.4006,1.9167
5C9B9CEB-7B92-46C3-822B-3F7623ACC681,2024-03-09,2053131.95,"[datetime.date(2025, 5, 26), datetime.date(2029, 5, 3), datetime.date(2026, 2, 4), datetime.date(2028, 6, 12)]","[794652.89, 425691.69, 982583.59, 339987.24]",2029-05-03,938895.6,0.2032,1.6959,1.2386,1.6959
B5A68E18-13B0-4930-AF2F-901FD62A6DC9,2023-11-19,5178694.37,"[datetime.date(2027, 10, 4), datetime.date(2028, 10, 26), datetime.date(2029, 7, 1), datetime.date(2030, 3, 7)]","[2460460.98, 2729110.07, 832264.58, 1614362.9]",2030-03-07,1280750.96,0.2548,1.7219,1.4745,1.7219
768277C0-5A24-47B3-9F73-D00C907B332A,2023-09-14,3418808.11,[],[],2028-09-12,4236962.06,0.2393,1.2393,0.0,1.2393
1C8A92ED-6300-4D5A-9997-65ABA4C4CAE1,2021-10-18,2126446.94,"[datetime.date(2024, 3, 21), datetime.date(2028, 3, 12)]","[322370.83, 480540.53]",2028-03-12,3147579.56,0.2613,1.8578,0.3776,1.8578
671AA37F-E8B0-46AD-B323-AF5CAB4A1B9E,2021-10-15,4040144.42,"[datetime.date(2026, 10, 9)]",[1027660.79],2026-10-09,6975918.83,0.4473,1.981,0.2544,1.981
8AB4F28B-8AE6-469F-A2A2-1D2827FF62E2,2021-11-07,2908534.39,"[datetime.date(2026, 3, 3), datetime.date(2022, 8, 9)]","[951188.62, 1396162.39]",2026-03-03,998782.41,0.0728,1.1505,0.8071,1.1505
126894A1-85BC-4D56-86D8-B4244BFF1825,2019-11-03,6689105.09,[],[],2024-11-01,4004967.62,-0.4013,0.5987,0.0,0.5987
C11377A7-1559-4AF8-97CB-E9F38AB2DFFD,2023-06-08,4335123.4,"[datetime.date(2029, 9, 5), datetime.date(2025, 10, 18)]","[2443124.17, 894464.72]",2029-09-05,5009167.07,0.3502,1.9254,0.7699,1.9254
211BF79C-5DFA-4C2B-BA5C-686F8C20770F,2020-12-20,9281266.56,"[datetime.date(2026, 3, 20)]",[5495165.37],2026-03-20,796204.18,-0.2875,0.6779,0.5921,0.6779
9FCBA9FC-A091-4685-86D3-90AFA3713106,2021-01-16,4886916.63,"[datetime.date(2024, 1, 19), datetime.date(2027, 11, 30), datetime.date(2027, 11, 28)]","[780863.3, 1697710.22, 2436126.71]",2027-11-30,3759371.02,0.2141,1.775,1.0057,1.775
591E39C0-5677-4911-BB24-D8E89D139877,2019-10-27,4773821.55,[],[],2024-10-25,3632938.96,-0.239,0.761,0.0,0.761
7E2134E6-64FB-4686-8411-18B90A766F00,2019-12-28,7774952.09,[],[],2024-12-26,12027083.32,0.5469,1.5469,0.0,1.5469
A0247FC3-8669-416D-A4E6-E30DE3AF12F6,2025-06-13,1308918.29,"[datetime.date(2025, 12, 24), datetime.date(2031, 9, 22), datetime.date(2028, 9, 24)]","[526299.16, 656686.54, 169153.28]",2031-09-22,630243.05,0.1948,1.5145,1.033,1.5145
D6661078-557D-4E4B-82B7-4BAECD28C72B,2018-10-27,1390709.94,"[datetime.date(2022, 12, 2), datetime.date(2025, 7, 31), datetime.date(2024, 4, 26), datetime.date(2019, 12, 27)]","[314979.01, 333684.54, 495864.26, 435991.16]",2025-07-31,854421.58,0.1843,1.7509,1.1365,1.7509
99614CDF-1941-4EC5-8581-7C5A043CE9C5,2023-08-25,1652576.61,"[datetime.date(2030, 1, 24)]",[955882.24],2030-01-24,1876258.17,0.3933,1.7138,0.5784,1.7138
A7B4F739-537B-4249-9514-96AC887E0FE7,2022-06-05,1622853.47,"[datetime.date(2024, 8, 16), datetime.date(2028, 12, 15)]","[861821.95, 780455.15]",2028-12-15,1146405.54,0.3099,1.7184,1.012,1.7184
B94E2462-953B-425D-8CCB-F8486232C04F,2024-05-20,6592544.08,"[datetime.date(2030, 4, 12), datetime.date(2025, 11, 6), datetime.date(2030, 7, 3), datetime.date(2031, 2, 13)]","[3914653.02, 1038159.33, 3487186.1, 3496514.58]",2031-02-13,734720.15,0.3037,1.9221,1.8106,1.9221
77DCEBAE-ECDB-41A7-91FB-B82381365E7B,2021-12-14,7814580.5,"[datetime.date(2027, 12, 10), datetime.date(2027, 1, 23), datetime.date(2027, 12, 16), datetime.date(2023, 8, 21)]","[3969144.57, 3986860.7, 3400180.67, 3940884.37]",2027-12-16,136442.02,0.3428,1.975,1.9575,1.975
04F1F63F-29B3-4498-9172-500483B9EE34,2021-10-09,8497808.54,"[datetime.date(2023, 12, 29), datetime.date(2027, 1, 30), datetime.date(2023, 5, 16)]","[2170343.15, 918243.51, 2734276.67]",2027-01-30,6478411.34,0.1305,1.4476,0.6852,1.4476
473C4795-5DC8-4A1C-A7B2-2B31A3B2EAD3,2018-09-06,4263242.43,"[datetime.date(2020, 1, 23)]",[1564329.91],2020-01-23,5042965.38,0.2864,1.5498,0.3669,1.5498
27FD6B44-8E3B-411C-9D3C-B81F39C9607F,2022-12-03,8320962.64,"[datetime.date(2029, 9, 5), datetime.date(2026, 3, 24), datetime.date(2029, 11, 15), datetime.date(2026, 11, 23)]","[1689734.21, 2001096.7, 3339570.98, 3538959.63]",2029-11-15,2604458.28,0.158,1.5832,1.2702,1.5832
82160DF0-C6E7-49D7-966C-E0098EA12086,2024-05-12,6499657.43,"[datetime.date(2029, 12, 20), datetime.date(2027, 11, 13), datetime.date(2027, 12, 15)]","[985620.4, 3843366.64, 2373718.55]",2029-12-20,5348737.22,0.2609,1.9311,1.1082,1.9311
8707B614-052E-4D90-B70F-6590C58FFC1B,2020-06-04,5009355.12,[],[],2025-06-03,2256552.53,-0.5495,0.4505,0.0,0.4505
3D7E9D3A-E5D7-4471-B27A-AC4020A6154A,2021-03-18,9715752.2,"[datetime.date(2022, 7, 29), datetime.date(2027, 2, 27), datetime.date(2027, 5, 22), datetime.date(2027, 9, 29)]","[3771566.0, 4327656.58, 2349926.85, 1324621.08]",2027-09-29,1101161.64,0.1327,1.3252,1.2118,1.3252
67278539-3E97-4E68-B342-4C848CC34404,2022-12-25,8949605.48,"[datetime.date(2025, 8, 7), datetime.date(2027, 11, 6)]","[4173251.95, 2296331.35]",2027-11-06,6551398.75,0.1943,1.4549,0.7229,1.4549
07CB2367-1D77-4AD4-AEBB-8AA841040431,2019-09-17,4771265.25,"[datetime.date(2024, 11, 10), datetime.date(2024, 6, 8)]","[2059642.11, 2159516.53]",2024-11-10,4643215.89,0.3262,1.8574,0.8843,1.8574
8E0B7976-DD46-41C2-8EB3-F7C24BF07FD6,2022-05-14,1865107.08,"[datetime.date(2028, 6, 18)]",[1022474.51],2028-06-18,827908.03,-0.0055,0.9921,0.5482,0.9921
3A70BD4B-B83F-4474-AF77-2A3ACC8B5E51,2024-06-01,7775633.55,"[datetime.date(2027, 1, 30), datetime.date(2028, 5, 25)]","[4163384.88, 3342060.9]",2028-05-25,3258398.9,0.1914,1.3843,0.9653,1.3843
8043636C-3B52-46E1-A7DF-AEBE7EE52FA7,2025-06-05,4669608.2,[],[],2030-06-04,4709927.5,0.0086,1.0086,0.0,1.0086
2A1D1C14-26BC-4437-9E8D-9A617282509A,2019-07-20,5691543.79,"[datetime.date(2020, 10, 29), datetime.date(2025, 12, 24), datetime.date(2026, 5, 15)]","[3267972.97, 3380667.86, 3182660.89]",2026-05-15,246266.73,0.3437,1.7706,1.7274,1.7706
D6D721E5-3E2E-4BF7-A894-C090F544B05D,2018-11-15,8558459.91,"[datetime.date(2021, 8, 27), datetime.date(2022, 8, 6), datetime.date(2020, 1, 17), datetime.date(2025, 10, 1)]","[3126170.73, 1586987.44, 4077363.3, 3114916.14]",2025-10-01,2769024.96,0.2064,1.7146,1.3911,1.7146
41BB8D27-6EBD-4499-9F8B-C448E2F6F211,2025-04-04,3991509.28,"[datetime.date(2029, 6, 4), datetime.date(2028, 8, 24), datetime.date(2030, 3, 29), datetime.date(2031, 4, 22)]","[565412.38, 1083909.97, 1669805.23, 821473.82]",2031-04-22,2854030.52,0.1758,1.7524,1.0374,1.7524
E60B9AC7-3772-4F16-9281-FDE5E4A6B30A,2022-07-22,8880018.3,"[datetime.date(2023, 3, 30), datetime.date(2027, 5, 27), datetime.date(2025, 6, 30)]","[5085389.23, 1559468.92, 1262301.8]",2027-05-27,8509370.64,0.2687,1.8487,0.8904,1.8487
1E2EE09E-A9EF-495A-BABA-0B267BD7E25B,2025-03-06,4605630.32,"[datetime.date(2030, 3, 15), datetime.date(2027, 4, 8), datetime.date(2030, 8, 26)]","[2302212.32, 2642489.84, 1459192.14]",2030-08-26,1607594.6,0.2938,1.7395,1.3904,1.7395
3CD42AC0-1882-4858-9CCE-1092535687D2,2019-07-22,6533383.52,"[datetime.date(2025, 8, 15), datetime.date(2024, 1, 26), datetime.date(2026, 4, 22), datetime.date(2026, 1, 5)]","[2931778.33, 3271180.78, 3254279.0, 1798826.61]",2026-04-22,1591343.89,0.3173,1.9664,1.7229,1.9664
2E92B618-B7BC-4A18-AFBF-E54460B4A6EA,2019-09-02,6731390.61,"[datetime.date(2023, 3, 6), datetime.date(2023, 4, 12), datetime.date(2023, 8, 3), datetime.date(2020, 10, 14)]","[3272945.73, 3675789.95, 3404533.77, 1415739.59]",2023-08-03,184995.34,0.3054,1.7759,1.7484,1.7759
B86572A8-B9BA-45E4-8FC7-343B8EA7C57D,2024-08-25,3044921.09,"[datetime.date(2028, 9, 17), datetime.date(2031, 1, 9), datetime.date(2030, 8, 4), datetime.date(2029, 8, 12)]","[345439.84, 1514791.16, 1815987.78, 327368.11]",2031-01-09,579910.76,0.1598,1.5053,1.3148,1.5053
F6DBD691-84D8-47A8-B05F-E34DBA39F823,2019-01-15,8869018.54,"[datetime.date(2020, 3, 7)]",[2045055.73],2020-03-07,3969639.92,-0.2058,0.6782,0.2306,0.6782
C1320514-89CE-42F4-94F6-D9400DF34551,2024-06-17,9104433.5,[],[],2029-06-16,11111154.94,0.2204,1.2204,0.0,1.2204
2139D611-C400-4C9F-B865-C3E90542D245,2021-03-30,8144993.18,"[datetime.date(2027, 5, 18)]",[3331568.11],2027-05-18,8556823.47,0.2497,1.4596,0.409,1.4596
F76A3C11-90BD-4C30-8928-BDD2477BF564,2025-04-22,2617553.97,"[datetime.date(2027, 8, 14), datetime.date(2026, 9, 1), datetime.date(2026, 11, 13), datetime.date(2029, 1, 26)]","[338600.97, 1462721.54, 1105820.5, 769155.09]",2029-01-26,346879.97,0.1699,1.537,1.4045,1.537
96B6EBD0-2FED-4216-86D1-0240EB1A2A6E,2020-12-21,4175420.51,"[datetime.date(2025, 5, 4), datetime.date(2025, 11, 28), datetime.date(2027, 10, 12), datetime.date(2025, 10, 6)]","[453267.59, 1465486.73, 1521125.26, 1792348.11]",2027-10-12,1193927.92,0.1451,1.539,1.2531,1.539
2A4904B0-ED0B-4F14-A33C-71E0A901F7DB,2024-06-26,9482107.8,"[datetime.date(2026, 7, 26), datetime.date(2030, 3, 12), datetime.date(2025, 2, 19)]","[1718923.89, 3059811.98, 4404309.47]",2030-03-12,139625.84,-0.0073,0.9832,0.9685,0.9832
47EE713A-420D-4A05-9BC3-187460F36848,2025-05-16,9074541.35,"[datetime.date(2026, 9, 28), datetime.date(2027, 11, 15)]","[4044408.19, 5067420.63]",2027-11-15,2910167.47,0.163,1.3248,1.0041,1.3248
B26DF47C-4705-417D-9515-DDF8D969EDB7,2019-11-05,1483091.57,"[datetime.date(2026, 7, 23)]",[357534.37],2026-07-23,2117409.89,0.3215,1.6688,0.2411,1.6688
8DF4817D-CEC3-4905-8118-0FDF7BC6B745,2021-10-16,2449776.81,[],[],2026-10-15,2716384.37,0.1088,1.1088,0.0,1.1088
C9847D54-A650-4134-B77E-48187A335DDF,2024-02-25,9360562.8,"[datetime.date(2026, 9, 24), datetime.date(2026, 6, 13), datetime.date(2027, 2, 13)]","[4331551.91, 2283440.93, 2623170.13]",2027-02-13,6295022.2,0.2206,1.6594,0.9869,1.6594
AF7FE555-7D46-46DE-B19F-AFE42665B59D,2019-06-25,2390851.07,[],[],2024-06-23,2478453.36,0.0366,1.0366,0.0,1.0366
DF4D8DD4-62D0-45AC-9DC0-9E81EA83FDB1,2021-01-24,6414308.57,"[datetime.date(2024, 11, 18), datetime.date(2022, 4, 29), datetime.date(2025, 4, 19)]","[1779575.12, 1278627.74, 3366913.03]",2025-04-19,5813400.69,0.2453,1.908,1.0017,1.908
CBD1CB9E-DB29-459E-A47A-16C934C34C1E,2018-10-15,1719642.84,"[datetime.date(2025, 3, 1), datetime.date(2019, 8, 21), datetime.date(2024, 4, 30), datetime.date(2019, 7, 28)]","[747464.96, 437583.36, 421815.94, 1019509.07]",2025-03-01,426066.32,0.2302,1.775,1.5273,1.775
F2001B2E-A392-4C8E-BF06-00971A535AC0,2020-10-07,6872447.83,[],[],2025-10-06,8896122.39,0.2945,1.2945,0.0,1.2945
F6D6573B-27E5-44F9-BC40-36FB9B0ACAD7,2024-10-27,7774617.4,[],[],2029-10-26,1342227.15,-0.8274,0.1726,0.0,0.1726
BD01E69D-34AB-401B-A6D0-9712F65CC2FE,2018-09-13,9004603.94,"[datetime.date(2023, 5, 5)]",[3272710.95],2023-05-05,8168544.36,0.1514,1.2706,0.3634,1.2706
F5300476-2BAA-4CE7-999D-0A976356FC70,2021-05-29,1889225.32,"[datetime.date(2022, 1, 13), datetime.date(2024, 2, 19)]","[1085006.16, 852036.22]",2024-02-19,11661.85,0.0217,1.0315,1.0253,1.0315
BFB84841-1057-4A2E-9F27-2ADD10682C11,2024-04-27,3106630.32,"[datetime.date(2030, 10, 16)]",[434716.0],2030-10-16,1733819.03,-0.1797,0.698,0.1399,0.698
748295B9-7233-408D-A875-3978FF036A93,2019-03-21,5666375.42,"[datetime.date(2020, 8, 9), datetime.date(2023, 9, 16), datetime.date(2020, 8, 10)]","[2304775.8, 1157844.04, 719839.93]",2023-09-16,4347442.21,0.1634,1.5054,0.7381,1.5054
95F48BAF-4013-4F1D-B809-C15139FFBE80,2021-04-07,5262694.14,"[datetime.date(2026, 11, 10)]",[2091731.93],2026-11-10,7552272.62,0.413,1.8325,0.3975,1.8325
F8938AA3-61A8-4D74-BFFF-8432429CBC69,2023-09-29,7895679.97,"[datetime.date(2029, 1, 26), datetime.date(2024, 7, 2), datetime.date(2030, 8, 21), datetime.date(2024, 6, 26)]","[828980.52, 2733252.04, 4644843.16, 4547440.01]",2030-08-21,446708.48,0.187,1.672,1.6154,1.672
90ED612D-4F23-4350-8764-FF69952E7B30,2020-04-06,3151533.64,"[datetime.date(2022, 9, 3), datetime.date(2021, 11, 29), datetime.date(2021, 8, 15)]","[413054.42, 563079.25, 1345833.34]",2022-09-03,2083522.51,0.1139,1.3979,0.7368,1.3979
